"","Country Name","Country Code","Series Name","Series Code","1971 [YR1971]","1972 [YR1972]","1973 [YR1973]","1974 [YR1974]","1975 [YR1975]","1976 [YR1976]","1977 [YR1977]","1978 [YR1978]","1979 [YR1979]","1980 [YR1980]","1981 [YR1981]","1982 [YR1982]","1983 [YR1983]","1984 [YR1984]","1985 [YR1985]","1986 [YR1986]","1987 [YR1987]","1988 [YR1988]","1989 [YR1989]","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]"
"11","China","CHN","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2.44710131532583","2.45401611552735","2.31124341155315","2.44954206753443","1.92806687404062","1.69347959870483","1.68623388691537","1.65272667000964","1.63265067284541","1.65508069090551","1.87146591412577","1.8303437176953","1.97618599097992","2.04968606201025","1.98340627424446","1.92776497620508","1.85334243982047","1.85464883982163","1.73981285883451","1.71233436060411","1.88613315154918","1.73947515006373","1.66557605252678","1.69336816326385","1.70285509558016","1.72868906768382","1.75071776735043","1.77069571932743","1.74645507017874","1.73953368321942","1.7278278625043","1.74979577278881"
"12","China","CHN","Primary school starting age (years)","SE.PRM.AGES","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"13","China","CHN","Short-term debt (% of total external debt)","DT.DOD.DSTC.ZS","..","..","..","..","..","..","..","..","..","..","0","27.512","41.4494","46.3233","38.4389","25.6162","23.2629","20.7498","15.3719","16.8476","17.8893","18.976","17.7668","17.367","18.8695","19.6897","21.417","12.0222","10.198","8.9627","30.5402","35.4075","42.5137","46.797","51.8626","53.1106","53.9206","48.4383","52.9154","68.9759","73.1684","68.9882","72.7483","69.6951","61.6477","56.6836","60.4648","62.1403","57.0113","52.6193"
"14","China","CHN","Population, total","SP.POP.TOTL","841105000","862030000","881940000","900350000","916395000","930685000","943455000","956165000","969005000","981235000","993885000","1008630000","1023310000","1036825000","1051040000","1066790000","1084035000","1101630000","1118650000","1135185000","1150780000","1164970000","1178440000","1191835000","1204855000","1217550000","1230075000","1241935000","1252735000","1262645000","1271850000","1280400000","1288400000","1296075000","1303720000","1311020000","1317885000","1324655000","1331260000","1337705000","1344130000","1350695000","1357380000","1364270000","1371220000","1378665000","1386395000","1392730000","1397715000","1402112000"
"15","China","CHN","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","7.06000000335179","3.80999999825444","7.7600000016445","2.31000000049113","8.72000000047512","-1.57000000275067","7.56999999917166","11.3259779901995","7.5913246800003","7.83414501593799","5.11276109058912","9.01711391382203","10.7702025065715","15.1915400236134","13.4306775204064","8.94996176438008","11.6574277931357","11.222594982521","4.20633435547815","3.92025136776569","9.26278608406234","14.2245295931824","13.8837293021031","13.0368066319673","10.9539543428699","9.92255675231162","9.23677989162672","7.84595178761953","7.66165150053656","8.49009340575191","8.3357334781433","9.13363078993316","10.038030481108","10.1136213780461","11.3945918097286","12.7209556651735","14.2308609330803","9.65067891955702","9.39872563237978","10.6358710646812","9.55083217886229","7.86373644866194","7.766150097539","7.42576365645755","7.04132887865481","6.84876220503246","6.94720079327288","6.74977383247717","5.94971423273162","2.29999999995441"
"16","China","CHN","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","4.15917620599427","1.2901059690867","5.32729301473751","0.218005664944926","6.81644050919941","-3.08132198597882","6.11400167387855","9.84615685027552","6.16566370932294","6.49011265514277","3.77490366463344","7.4234102319374","9.18113704957753","13.6900198409219","11.8965617103967","7.34143347128678","9.88116379585462","9.44617135687768","2.62085917492101","2.40655857199583","7.78209199050757","12.8332095807123","12.5819966439285","11.7663891456246","9.75495489020201","8.77642981052642","8.12449757701776","6.8160645646963","6.73348565843446","7.63859767603294","7.55165483155264","8.40487997514565","9.35477664390774","9.4615587704991","10.7413751264029","12.0933046939024","13.6358205006408","9.09028010153618","8.85594767555551","10.1028326227139","9.02717442496261","7.33946899391793","7.23540946971035","6.88322917897656","6.49879213348869","6.27176269128802","6.35090474335061","6.26420964040209","5.57184082831787","1.97918889499289"
"17","India","IND","Claims on central government, etc. (% GDP)","FS.AST.CGOV.GD.ZS","12.8658750389172","13.7313364111224","13.171659546874","12.5328915596059","12.6024938126848","12.1491425874196","12.3566494818342","13.0667474458664","14.4430722352847","16.0510724221279","16.8047994946957","18.2038937927274","17.929345684808","19.3789001267168","21.0818577843934","22.7738813575351","23.7641882043014","23.6099864837907","23.9256972820432","24.3423680413848","25.2468212566315","23.3995015061823","23.7108907126756","21.9700218778359","20.0603409824975","20.8332570127979","21.1581493195499","21.4886129199876","22.1180201226421","22.762084018128","24.3346176453819","25.2193607992573","24.7904939967867","22.1425279945357","19.0851144286301","17.654917483278","16.220405583744","19.4857517692783","23.1559644186145","22.8378948527968","24.8190674818276","25.2532528630264","25.4656320192494","23.9797339670354","23.696514446151","25.2245942875245","23.2122743043379","22.1075583699012","23.7338192943164","29.4686815991774"
"18","India","IND","Consumer price index (2010 = 100)","FP.CPI.TOTL","4.73971402179062","5.04505101847466","5.89972382756987","7.58697015632402","8.02310184746566","7.41062245381336","8.02625769777357","8.22876409284699","8.74517527238276","9.7374092846992","11.0142316437707","11.8833363334912","13.2936603505448","14.3995476077688","15.1996475603979","16.5265343439129","17.9810554239697","19.6683027001421","21.0596935101847","22.9490075793463","26.1320914258645","29.2124945523449","31.0607370914259","34.2438214116532","37.7452131691142","41.1336584557082","44.0805774514448","49.9128076740881","52.2436461392705","54.3383216485078","56.3919261013738","58.815172903837","61.0535954523922","63.353638086215","66.0438512553292","69.8720985315016","74.3249644718144","80.5305542396969","89.2941733775462","100","108.858360966367","118.995736617717","132.161037923262","140.949086340153","147.865420572581","155.182121475482","160.346851524588","166.672644918068","172.878328310405","184.328815085944"
"19","India","IND","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","3.65245352356247","3.7179474612821","3.15864376713433","3.20282632441289","3.53459878110716","3.4778831428908","3.16277193712918","3.12633170169882","3.26132865787541","3.13378132972583","3.18624812218328","3.34511766555139","3.3230686597074","3.41687559436328","3.5690302776083","4.10646868066223","4.2313175270108","3.72867178276269","3.53417972767288","3.14621461029962","2.90997432764267","2.70483970561409","2.82354224568723","2.66467372708604","2.57848357246069","2.4727682254674","2.64773242601716","2.72731141679376","2.95719564743412","2.94892990622572","2.9244355462896","2.82686683045838","2.67777693222748","2.82875224798105","2.75490766621496","2.52680863026345","2.4782482091706","2.63146214095939","3.12938717929943","2.88946132772858","2.70448355847068","2.61816761903533","2.54882567900998","2.54398250277129","2.45745060051391","2.54315118788674","2.53146258766694","2.43392206663758","2.5191207637745","2.88267039974077"
"20","India","IND","Primary school starting age (years)","SE.PRM.AGES","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
